date,datetime,tickersymbol,price,close,best-bid,best-ask,spread
2025-11-04,2025-11-04 10:32:00.000000,VN30F1M,1870.3,1870.3,1870.2,1870.3999999999999,0.1999999999998181
2025-11-04,2025-11-04 10:33:00.000000,VN30F1M,1868.7,1868.7,1868.6000000000001,1868.8,0.1999999999998181
2025-11-04,2025-11-04 10:34:00.000000,VN30F1M,1870.7,1870.7,1870.6000000000001,1870.8,0.1999999999998181
2025-11-04,2025-11-04 10:35:00.000000,VN30F1M,1870.6,1870.6,1870.5,1870.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 10:36:00.000000,VN30F1M,1869.2,1869.2,1869.1000000000001,1869.3,0.1999999999998181
2025-11-04,2025-11-04 10:37:00.000000,VN30F1M,1871.4,1871.4,1871.3000000000002,1871.5,0.1999999999998181
2025-11-04,2025-11-04 10:38:00.000000,VN30F1M,1870.0,1870.0,1869.9,1870.1,0.1999999999998181
2025-11-04,2025-11-04 10:39:00.000000,VN30F1M,1869.0,1869.0,1868.9,1869.1,0.1999999999998181
2025-11-04,2025-11-04 10:40:00.000000,VN30F1M,1868.6,1868.6,1868.5,1868.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 10:41:00.000000,VN30F1M,1868.5,1868.5,1868.4,1868.6,0.1999999999998181
2025-11-04,2025-11-04 10:42:00.000000,VN30F1M,1868.1,1868.1,1868.0,1868.1999999999998,0.1999999999998181
2025-11-04,2025-11-04 10:43:00.000000,VN30F1M,1868.1,1868.1,1868.0,1868.1999999999998,0.1999999999998181
2025-11-04,2025-11-04 10:44:00.000000,VN30F1M,1867.8,1867.8,1867.7,1867.8999999999999,0.1999999999998181
2025-11-04,2025-11-04 10:45:00.000000,VN30F1M,1870.0,1870.0,1869.9,1870.1,0.1999999999998181
2025-11-04,2025-11-04 10:46:00.000000,VN30F1M,1872.0,1872.0,1871.9,1872.1,0.1999999999998181
2025-11-04,2025-11-04 10:47:00.000000,VN30F1M,1873.4,1873.4,1873.3000000000002,1873.5,0.1999999999998181
2025-11-04,2025-11-04 10:48:00.000000,VN30F1M,1871.8,1871.8,1871.7,1871.8999999999999,0.1999999999998181
2025-11-04,2025-11-04 10:49:00.000000,VN30F1M,1870.5,1870.5,1870.4,1870.6,0.1999999999998181
2025-11-04,2025-11-04 10:50:00.000000,VN30F1M,1868.9,1868.9,1868.8000000000002,1869.0,0.1999999999998181
2025-11-04,2025-11-04 10:51:00.000000,VN30F1M,1867.6,1867.6,1867.5,1867.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 10:52:00.000000,VN30F1M,1868.3,1868.3,1868.2,1868.3999999999999,0.1999999999998181
2025-11-04,2025-11-04 10:53:00.000000,VN30F1M,1868.8,1868.8,1868.7,1868.8999999999999,0.1999999999998181
2025-11-04,2025-11-04 10:54:00.000000,VN30F1M,1866.6,1866.6,1866.5,1866.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 10:55:00.000000,VN30F1M,1863.3,1863.3,1863.2,1863.3999999999999,0.1999999999998181
2025-11-04,2025-11-04 10:56:00.000000,VN30F1M,1863.2,1863.2,1863.1000000000001,1863.3,0.1999999999998181
2025-11-04,2025-11-04 10:57:00.000000,VN30F1M,1863.2,1863.2,1863.1000000000001,1863.3,0.1999999999998181
2025-11-04,2025-11-04 10:58:00.000000,VN30F1M,1864.0,1864.0,1863.9,1864.1,0.1999999999998181
2025-11-04,2025-11-04 10:59:00.000000,VN30F1M,1863.6,1863.6,1863.5,1863.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 11:00:00.000000,VN30F1M,1865.5,1865.5,1865.4,1865.6,0.1999999999998181
2025-11-04,2025-11-04 11:01:00.000000,VN30F1M,1864.2,1864.2,1864.1000000000001,1864.3,0.1999999999998181
2025-11-04,2025-11-04 11:02:00.000000,VN30F1M,1863.2,1863.2,1863.1000000000001,1863.3,0.1999999999998181
2025-11-04,2025-11-04 11:03:00.000000,VN30F1M,1864.2,1864.2,1864.1000000000001,1864.3,0.1999999999998181
2025-11-04,2025-11-04 11:04:00.000000,VN30F1M,1864.9,1864.9,1864.8000000000002,1865.0,0.1999999999998181
2025-11-04,2025-11-04 11:05:00.000000,VN30F1M,1864.5,1864.5,1864.4,1864.6,0.1999999999998181
2025-11-04,2025-11-04 11:06:00.000000,VN30F1M,1864.5,1864.5,1864.4,1864.6,0.1999999999998181
2025-11-04,2025-11-04 11:07:00.000000,VN30F1M,1864.0,1864.0,1863.9,1864.1,0.1999999999998181
2025-11-04,2025-11-04 11:08:00.000000,VN30F1M,1863.3,1863.3,1863.2,1863.3999999999999,0.1999999999998181
2025-11-04,2025-11-04 11:09:00.000000,VN30F1M,1862.7,1862.7,1862.6000000000001,1862.8,0.1999999999998181
2025-11-04,2025-11-04 11:10:00.000000,VN30F1M,1861.1,1861.1,1861.0,1861.1999999999998,0.1999999999998181
2025-11-04,2025-11-04 11:11:00.000000,VN30F1M,1863.2,1863.2,1863.1000000000001,1863.3,0.1999999999998181
2025-11-04,2025-11-04 11:12:00.000000,VN30F1M,1862.7,1862.7,1862.6000000000001,1862.8,0.1999999999998181
2025-11-04,2025-11-04 11:13:00.000000,VN30F1M,1861.5,1861.5,1861.4,1861.6,0.1999999999998181
2025-11-04,2025-11-04 11:14:00.000000,VN30F1M,1861.7,1861.7,1861.6000000000001,1861.8,0.1999999999998181
2025-11-04,2025-11-04 11:15:00.000000,VN30F1M,1862.6,1862.6,1862.5,1862.6999999999998,0.1999999999998181
2025-11-04,2025-11-04 11:16:00.000000,VN30F1M,1860.9,1860.9,1860.8000000000002,1861.0,0.1999999999998181
2025-11-04,2025-11-04 11:17:00.000000,VN30F1M,1860.0,1860.0,1859.9,1860.1,0.1999999999998181
2025-11-04,2025-11-04 11:18:00.000000,VN30F1M,1862.4,1862.4,1862.3000000000002,1862.5,0.1999999999998181
2025-11-04,2025-11-04 11:19:00.000000,VN30F1M,1864.0,1864.0,1863.9,1864.1,0.1999999999998181
2025-11-04,2025-11-04 11:20:00.000000,VN30F1M,1862.8,1862.8,1862.7,1862.8999999999999,0.1999999999998181
2025-11-04,2025-11-04 11:21:00.000000,VN30F1M,1862.4,1862.4,1862.3000000000002,1862.5,0.1999999999998181
2025-11-04,2025-11-04 11:22:00.000000,VN30F1M,1861.0,1861.0,1860.9,1861.1,0.1999999999998181
2025-11-04,2025-11-04 11:23:00.000000,VN30F1M,1861.5,1861.5,1861.4,1861.6,0.1999999999998181
2025-11-04,2025-11-04 11:24:00.000000,VN30F1M,1861.1,1861.1,1861.0,1861.1999999999998,0.1999999999998181
2025-11-04,2025-11-04 11:25:00.000000,VN30F1M,1862.2,1862.2,1862.1000000000001,1862.3,0.1999999999998181
